0 , 5962 => 0x0
"template_affinityWater3Projectile" , 5 => 0x332
"template_affinityWater2Projectile" , 5 => 0x333
"template_affinityEarth3Projectile" , 5 => 0x334
"template_affinityAir3Projectile" , 5 => 0x335
"template_AffHitDarkH" , 5 => 0x336
"teleport" , 5 => 0x337
"tailWhip" , 5 => 0x338
"secutor_SandTossHit" , 5 => 0x339
"secutor_SandToss" , 5 => 0x33a
"samnite_Bulldoze" , 5 => 0x33b
"reactVictory" , 5 => 0x33c
"darkGod_fireBreath2" , 5 => 0x33d
"cyclops" , 5 => 0x33e
"covetLife" , 5 => 0x33f
"berserk" , 5 => 0x340
"actKick" , 5 => 0x341
"actHowl" , 5 => 0x342
"Remove , 5 => 0x343
"Linear" , 5 => 0x344
"044.044" , 5 => 0x345
"022.022" , 5 => 0x346
"021.021" , 5 => 0x347
shifted" , 4 => 0x348
range , 4 => 0x349
meta , 4 => 0x34a
earth" , 4 => 0x34b
doom" , 4 => 0x34c
beast" , 4 => 0x34d
add" , 4 => 0x34e
WintersFat" , 4 => 0x34f
WideSwing" , 4 => 0x350
TearThroat" , 4 => 0x351
TearThroat , 4 => 0x352
Status , 4 => 0x353
SmartAssSub" , 4 => 0x354
Slice" , 4 => 0x355
Nip" , 4 => 0x356
Howl , 4 => 0x357
HP" , 4 => 0x358
Global" , 4 => 0x359
FreezeEnemy , 4 => 0x35a
Discipline" , 4 => 0x35b
Defend" , 4 => 0x35c
Blind" , 4 => 0x35d
BackAtcha" , 4 => 0x35e
AgoraphobiaSub" , 4 => 0x35f
8210 , 4 => 0x360
82 , 4 => 0x361
7935 , 4 => 0x362
7934 , 4 => 0x363
6940 , 4 => 0x364
6826 , 4 => 0x365
6692 , 4 => 0x366
6552 , 4 => 0x367
6432 , 4 => 0x368
55 , 4 => 0x369
4834 , 4 => 0x36a
4777 , 4 => 0x36b
4756 , 4 => 0x36c
4746 , 4 => 0x36d
4353 , 4 => 0x36e
4283 , 4 => 0x36f
4277 , 4 => 0x370
4228 , 4 => 0x371
4005 , 4 => 0x372
"wolfGreater_Heal" , 4 => 0x373
"wideSwing" , 4 => 0x374
"ursula_castleGreyskull" , 4 => 0x375
"trip" , 4 => 0x376
"template_hitBluntM" , 4 => 0x377
"template_affinityWater3SwordSmall" , 4 => 0x378
"template_affinityWater2SwordSmall" , 4 => 0x379
"template_affinityDark3Sword" , 4 => 0x37a
"skill , 4 => 0x37b
"shriek" , 4 => 0x37c
"sandToss" , 4 => 0x37d
"overwhelmStrikeOne" , 4 => 0x37e
"overhandSmash" , 4 => 0x37f
"invigoratingSpirits" , 4 => 0x380
"ifnotblocked" , 4 => 0x381
"idlePassive" , 4 => 0x382
"galdr_Shriek" , 4 => 0x383
"galdr_Cry" , 4 => 0x384
"forwardThrust" , 4 => 0x385
"fierceBackhand" , 4 => 0x386
"dustDevil" , 4 => 0x387
"cry" , 4 => 0x388
"channeler_Teleport" , 4 => 0x389
"changeformaway" , 4 => 0x38a
"changeFormInto" , 4 => 0x38b
"bulldoze" , 4 => 0x38c
"berserker_Rage" , 4 => 0x38d
"berserker_Howl" , 4 => 0x38e
"affintityAttack2" , 4 => 0x38f
"affinityFireGreater" , 4 => 0x390
"actSwingStaff" , 4 => 0x391
"actFire" , 4 => 0x392
"Tainted , 4 => 0x393
"ShiftReturn" , 4 => 0x394
"Random , 4 => 0x395
"Crowd , 4 => 0x396
"Crit , 4 => 0x397
"Boss" , 4 => 0x398
"Boss , 4 => 0x399
"BerserkerEnraged" , 4 => 0x39a
"038.037" , 4 => 0x39b
"037.036" , 4 => 0x39c
"029.029" , 4 => 0x39d
"028.028" , 4 => 0x39e
"027.027" , 4 => 0x39f
"," , 4 => 0x3a0
ranged" , 3 => 0x3a1
either , 3 => 0x3a2
def , 3 => 0x3a3
counters" , 3 => 0x3a4
counterattack" , 3 => 0x3a5
all" , 3 => 0x3a6
WoundedAnimalSub" , 3 => 0x3a7
Whirlwind , 3 => 0x3a8
Trip" , 3 => 0x3a9
Tornado" , 3 => 0x3aa
ThrowShield , 3 => 0x3ab
SweepingAttack" , 3 => 0x3ac
SummonLich , 3 => 0x3ad
Stack , 3 => 0x3ae
Smartass" , 3 => 0x3af
ShriekoftheGaldr , 3 => 0x3b0
ShieldCounterSub" , 3 => 0x3b1
SKILLREPLACES: , 3 => 0x3b2
SKILLLOWANIM: , 3 => 0x3b3
SKILLCHARGEANIM: , 3 => 0x3b4
Regrowth , 3 => 0x3b5
Reflexes" , 3 => 0x3b6
RagingBearSub" , 3 => 0x3b7
Rage , 3 => 0x3b8
Punch" , 3 => 0x3b9
Poison , 3 => 0x3ba
PointBlankCantMiss" , 3 => 0x3bb
Orders" , 3 => 0x3bc
MuniosSpiritSub" , 3 => 0x3bd
MongrelShaman , 3 => 0x3be
LupusCall" , 3 => 0x3bf
KickingAttack" , 3 => 0x3c0
Immunities" , 3 => 0x3c1
Hug" , 3 => 0x3c2
GreaterAttack , 3 => 0x3c3
Garrison" , 3 => 0x3c4
FlammableBreath , 3 => 0x3c5
FireStorm , 3 => 0x3c6
Effect" , 3 => 0x3c7
Charm" , 3 => 0x3c8
AttackSpear" , 3 => 0x3c9
AffNoGrow" , 3 => 0x3ca
8040 , 3 => 0x3cb
8039 , 3 => 0x3cc
7694 , 3 => 0x3cd
7330 , 3 => 0x3ce
70 , 3 => 0x3cf
6814 , 3 => 0x3d0
6810 , 3 => 0x3d1
6784 , 3 => 0x3d2
6763 , 3 => 0x3d3
6756 , 3 => 0x3d4
6678 , 3 => 0x3d5
6635 , 3 => 0x3d6
6633 , 3 => 0x3d7
6631 , 3 => 0x3d8
6612 , 3 => 0x3d9
6606 , 3 => 0x3da
6605 , 3 => 0x3db
6574 , 3 => 0x3dc
6568 , 3 => 0x3dd
6523 , 3 => 0x3de
5225 , 3 => 0x3df
5167 , 3 => 0x3e0
4792 , 3 => 0x3e1
4791 , 3 => 0x3e2
4765 , 3 => 0x3e3
4707 , 3 => 0x3e4
4525 , 3 => 0x3e5
4522 , 3 => 0x3e6
4351 , 3 => 0x3e7
4347 , 3 => 0x3e8
4230 , 3 => 0x3e9
4149 , 3 => 0x3ea
4060 , 3 => 0x3eb
4051 , 3 => 0x3ec
4049 , 3 => 0x3ed
4044 , 3 => 0x3ee
3931 , 3 => 0x3ef
1968 , 3 => 0x3f0
1624 , 3 => 0x3f1
1611 , 3 => 0x3f2
1609 , 3 => 0x3f3
1582 , 3 => 0x3f4
1.8 , 3 => 0x3f5
1.4 , 3 => 0x3f6
1.20000004768372 , 3 => 0x3f7
1.15 , 3 => 0x3f8
0.200000002980232 , 3 => 0x3f9
-999 , 3 => 0x3fa
-100 , 3 => 0x3fb
"uppercut" , 3 => 0x3fc
"throwShield_I" , 3 => 0x3fd
"template_swingFXSpear" , 3 => 0x3fe
"template_poisonProjectile" , 3 => 0x3ff
"template_affinityWaterSwordSmall" , 3 => 0x400
"template_affinityFireSwordSmall" , 3 => 0x401
"template_affinityFire3SwordSmall" , 3 => 0x402
"template_affinityFire3Projectile" , 3 => 0x403
"template_affinityFire2SwordSmall" , 3 => 0x404
"template_affinityEarthSwordSmall" , 3 => 0x405
"template_affinityEarth3SwordSmall" , 3 => 0x406
"template_affinityEarth2SwordSmall" , 3 => 0x407
"template_affinityDark3Beast" , 3 => 0x408
"template_affinityDark2Sword" , 3 => 0x409
"template_affinityDark2Projectile" , 3 => 0x40a
"template_affinityAirSwordSmall" , 3 => 0x40b
"template_affinityAir3SwordSmall" , 3 => 0x40c
"template_affinityAir2SwordSmall" , 3 => 0x40d
"tailWhipCombo" , 3 => 0x40e
"summoner_Tornado" , 3 => 0x40f
"spear" , 3 => 0x410
"simple , 3 => 0x411
"shockwave" , 3 => 0x412
"shieldmelt" , 3 => 0x413
"scarab_stinkBug" , 3 => 0x414
"satyr_flammableBreath" , 3 => 0x415
"reactHitWeakF" , 3 => 0x416
"rally" , 3 => 0x417
"pulldownStart" , 3 => 0x418
"pulldownLoop" , 3 => 0x419
"pulldownEnd" , 3 => 0x41a
"multifire" , 3 => 0x41b
"lupusCall" , 3 => 0x41c
"joltArrow" , 3 => 0x41d
"javelin_explosion" , 3 => 0x41e
"javelinAttack" , 3 => 0x41f
"impel" , 3 => 0x420
"immortal" , 3 => 0x421
"hpregen" , 3 => 0x422
"hitL" , 3 => 0x423
"heavyStrike" , 3 => 0x424
"flammableBreathe" , 3 => 0x425
"eyebeam" , 3 => 0x426
"drain , 3 => 0x427
"dervish_attackWhirlwind" , 3 => 0x428
"cripple" , 3 => 0x429
"charm" , 3 => 0x42a
"charge" , 3 => 0x42b
"channeler_freezeEnemyIII" , 3 => 0x42c
"channeler_affinityFireCast" , 3 => 0x42d
"actswingL" , 3 => 0x42e
"actSwingWide" , 3 => 0x42f
"actSwingSpin" , 3 => 0x430
"actDualSwingCombo" , 3 => 0x431
"White" , 3 => 0x432
"Vampiric , 3 => 0x433
"Surprise" , 3 => 0x434
"Star" , 3 => 0x435
"Death , 3 => 0x436
"DarkGodKnight , 3 => 0x437
"Citizen" , 3 => 0x438
"Citizen , 3 => 0x439
"AB" , 3 => 0x43a
"045.045" , 3 => 0x43b
"036.038" , 3 => 0x43c
"036.035" , 3 => 0x43d
"036.000" , 3 => 0x43e
piercing" , 2 => 0x43f
no , 2 => 0x440
interrupt" , 2 => 0x441
flubs" , 2 => 0x442
face" , 2 => 0x443
defenseadd" , 2 => 0x444
debuff" , 2 => 0x445
dark" , 2 => 0x446
berserk" , 2 => 0x447
activate" , 2 => 0x448
Wink" , 2 => 0x449
WindStep , 2 => 0x44a
WeatheredChitin" , 2 => 0x44b
Volley" , 2 => 0x44c
Urlan" , 2 => 0x44d
Uppercut" , 2 => 0x44e
UnstoppableThrow" , 2 => 0x44f
TargetShield" , 2 => 0x450
TargetFoot" , 2 => 0x451
SummonSkeleton" , 2 => 0x452
Sparks" , 2 => 0x453
Song:RageofAlderes , 2 => 0x454
Song:ChantofClarity , 2 => 0x455
SicklyMarrow" , 2 => 0x456
Shockwave" , 2 => 0x457
ShieldBypass" , 2 => 0x458
SandToss" , 2 => 0x459
SKILLSTATUSUSELIMIT: , 2 => 0x45a
SKILLDISTANCEDELAY: , 2 => 0x45b
RottingTouch" , 2 => 0x45c
Roam" , 2 => 0x45d
ResistWater" , 2 => 0x45e
ResistFire" , 2 => 0x45f
ResistEarth" , 2 => 0x460
ResistAir" , 2 => 0x461
PracticedManeuvers" , 2 => 0x462
Pounce" , 2 => 0x463
PoisonResistance" , 2 => 0x464
Poison" , 2 => 0x465
PointBlankPowered" , 2 => 0x466
PeoplesHero , 2 => 0x467
Ogre" , 2 => 0x468
LupusCall , 2 => 0x469
Legionnaire" , 2 => 0x46a
Leap" , 2 => 0x46b
KnockBack" , 2 => 0x46c
KnitBones" , 2 => 0x46d
Knee" , 2 => 0x46e
KillTest" , 2 => 0x46f
IndirectFire" , 2 => 0x470
Incapacitate , 2 => 0x471
ImmediateResponse" , 2 => 0x472
HumiliateSub" , 2 => 0x473
Hibernation" , 2 => 0x474
HeavyHanded" , 2 => 0x475
HEAVY" , 2 => 0x476
FleshlessTarget" , 2 => 0x477
Firestorm , 2 => 0x478
FireBreath" , 2 => 0x479
FesteringClaws" , 2 => 0x47a
EyeBeam" , 2 => 0x47b
ExplodingJavelin" , 2 => 0x47c
ExplodingBarrelSub" , 2 => 0x47d
Driven" , 2 => 0x47e
DervishFaith" , 2 => 0x47f
Dervish" , 2 => 0x480
DeliberateNature" , 2 => 0x481
Daze" , 2 => 0x482
DarkWolf" , 2 => 0x483
ClearArea , 2 => 0x484
CastleGreyskull" , 2 => 0x485
BreakDefense" , 2 => 0x486
BloodLetter , 2 => 0x487
Bleeding" , 2 => 0x488
BlastWater" , 2 => 0x489
BlastFire" , 2 => 0x48a
BlastEarth" , 2 => 0x48b
BlastAir" , 2 => 0x48c
Bandit" , 2 => 0x48d
BackStab" , 2 => 0x48e
BackAttack" , 2 => 0x48f
Agoraphobia" , 2 => 0x490
AffinityDrain" , 2 => 0x491
AffLeachSub" , 2 => 0x492
AdrenalineSub" , 2 => 0x493
8171 , 2 => 0x494
7845 , 2 => 0x495
7650 , 2 => 0x496
7619 , 2 => 0x497
7329 , 2 => 0x498
7016 , 2 => 0x499
7015 , 2 => 0x49a
7014 , 2 => 0x49b
7013 , 2 => 0x49c
6989 , 2 => 0x49d
6983 , 2 => 0x49e
6979 , 2 => 0x49f
6965 , 2 => 0x4a0
6943 , 2 => 0x4a1
6898 , 2 => 0x4a2
6887 , 2 => 0x4a3
6886 , 2 => 0x4a4
6880 , 2 => 0x4a5
6879 , 2 => 0x4a6
6868 , 2 => 0x4a7
6864 , 2 => 0x4a8
6863 , 2 => 0x4a9
6862 , 2 => 0x4aa
6818 , 2 => 0x4ab
6815 , 2 => 0x4ac
6811 , 2 => 0x4ad
6802 , 2 => 0x4ae
6800 , 2 => 0x4af
6799 , 2 => 0x4b0
6796 , 2 => 0x4b1
6792 , 2 => 0x4b2
6790 , 2 => 0x4b3
6789 , 2 => 0x4b4
6786 , 2 => 0x4b5
6785 , 2 => 0x4b6
6783 , 2 => 0x4b7
6768 , 2 => 0x4b8
6764 , 2 => 0x4b9
6735 , 2 => 0x4ba
6724 , 2 => 0x4bb
6723 , 2 => 0x4bc
6711 , 2 => 0x4bd
6706 , 2 => 0x4be
6702 , 2 => 0x4bf
6701 , 2 => 0x4c0
6658 , 2 => 0x4c1
6656 , 2 => 0x4c2
6652 , 2 => 0x4c3
6648 , 2 => 0x4c4
6647 , 2 => 0x4c5
6645 , 2 => 0x4c6
6628 , 2 => 0x4c7
6613 , 2 => 0x4c8
6607 , 2 => 0x4c9
6603 , 2 => 0x4ca
6599 , 2 => 0x4cb
6576 , 2 => 0x4cc
6565 , 2 => 0x4cd
6537 , 2 => 0x4ce
6453 , 2 => 0x4cf
6451 , 2 => 0x4d0
6450 , 2 => 0x4d1
6436 , 2 => 0x4d2
5222 , 2 => 0x4d3
5216 , 2 => 0x4d4
5197 , 2 => 0x4d5
5082 , 2 => 0x4d6
5081 , 2 => 0x4d7
5080 , 2 => 0x4d8
4871 , 2 => 0x4d9
4774 , 2 => 0x4da
4771 , 2 => 0x4db
4770 , 2 => 0x4dc
4691 , 2 => 0x4dd
4681 , 2 => 0x4de
4656 , 2 => 0x4df
4528 , 2 => 0x4e0
4516 , 2 => 0x4e1
4373 , 2 => 0x4e2
4371 , 2 => 0x4e3
4204 , 2 => 0x4e4
4168 , 2 => 0x4e5
4142 , 2 => 0x4e6
4103 , 2 => 0x4e7
4092 , 2 => 0x4e8
4076 , 2 => 0x4e9
4064 , 2 => 0x4ea
4063 , 2 => 0x4eb
4062 , 2 => 0x4ec
4061 , 2 => 0x4ed
4059 , 2 => 0x4ee
4058 , 2 => 0x4ef
4057 , 2 => 0x4f0
4056 , 2 => 0x4f1
4055 , 2 => 0x4f2
4047 , 2 => 0x4f3
4043 , 2 => 0x4f4
4039 , 2 => 0x4f5
4018 , 2 => 0x4f6
4017 , 2 => 0x4f7
3805 , 2 => 0x4f8
3798 , 2 => 0x4f9
3790 , 2 => 0x4fa
3621 , 2 => 0x4fb
3613 , 2 => 0x4fc
3610 , 2 => 0x4fd
3609 , 2 => 0x4fe
3.75 , 2 => 0x4ff
1969 , 2 => 0x500
1663 , 2 => 0x501
1659 , 2 => 0x502
1657 , 2 => 0x503
1650 , 2 => 0x504
1642 , 2 => 0x505
1630 , 2 => 0x506
1623 , 2 => 0x507
1617 , 2 => 0x508
1613 , 2 => 0x509
1612 , 2 => 0x50a
1594 , 2 => 0x50b
1588 , 2 => 0x50c
1587 , 2 => 0x50d
1581 , 2 => 0x50e
1.6 , 2 => 0x50f
1.10000002384186 , 2 => 0x510
0.85 , 2 => 0x511
0.600000023841858 , 2 => 0x512
0.300000011920929 , 2 => 0x513
0.015 , 2 => 0x514
.4 , 2 => 0x515
-6 , 2 => 0x516
-0.1 , 2 => 0x517
"yeti_cryOfAnger" , 2 => 0x518
"weapon3" , 2 => 0x519
"volley" , 2 => 0x51a
"ursula_spellDirectional" , 2 => 0x51b
"ursula_spellCast" , 2 => 0x51c
"ursula_icarusLand" , 2 => 0x51d
"ursula_healingLight" , 2 => 0x51e
"unstoppableThrow" , 2 => 0x51f
"tornado" , 2 => 0x520
"template_poisonCast" , 2 => 0x521
"template_hitBluntH" , 2 => 0x522
"template_affinityWaterSpear" , 2 => 0x523
"template_affinityWater3Spear" , 2 => 0x524
"template_affinityWater2Spear" , 2 => 0x525
"template_affinityFireSpear" , 2 => 0x526
"template_affinityFire3Spear" , 2 => 0x527
"template_affinityFire2Spear" , 2 => 0x528
"template_affinityEarth2Spear" , 2 => 0x529
"template_affinityAirSpear" , 2 => 0x52a
"template_affinityAir3Spear" , 2 => 0x52b
"template_AffHitPoisonM" , 2 => 0x52c
"supercharge" , 2 => 0x52d
"summoner_summonWaterAffinityFlash" , 2 => 0x52e
"summoner_summonWaterAffinityCast" , 2 => 0x52f
"summoner_summonFireAffinityCast" , 2 => 0x530
"summoner_summonEarthAffinityCast" , 2 => 0x531
"summoner_summonAirAffinityCast" , 2 => 0x532
"summoner_SummonWaterAffinity" , 2 => 0x533
"summoner_SummonFireAffinity" , 2 => 0x534
"summoner_SummonEarthAffinity" , 2 => 0x535
"summoner_SummonAirAffinityFlash" , 2 => 0x536
"summoner_SummonAirAffinity" , 2 => 0x537
"summoner_AffinityCharge" , 2 => 0x538
"suicide" , 2 => 0x539
"skeleton_sicklyMarrow" , 2 => 0x53a
"skeleton_rottingTouch" , 2 => 0x53b
"skeleton_graveLaughter" , 2 => 0x53c
"skeleton_covetLifeCast" , 2 => 0x53d
"scarab_burrowUp" , 2 => 0x53e
"scarab_burrowDown" , 2 => 0x53f
"samnite_Overrun" , 2 => 0x540
"samnite_ForwardThrust" , 2 => 0x541
"sacrificeAlly" , 2 => 0x542
"roundHouseKick" , 2 => 0x543
"rottingtouch" , 2 => 0x544
"rakingAttacksCombo" , 2 => 0x545
"poisonSpittle" , 2 => 0x546
"minotaur_Gore" , 2 => 0x547
"mandibleSwipe" , 2 => 0x548
"lowKick" , 2 => 0x549
"indirectFire" , 2 => 0x54a
"indirect" , 2 => 0x54b
"impale" , 2 => 0x54c
"gutBasher" , 2 => 0x54d
"graveLaughter" , 2 => 0x54e
"gore" , 2 => 0x54f
"fierceAttackStrikeTwo" , 2 => 0x550
"fearsomeYell" , 2 => 0x551
"envenom" , 2 => 0x552
"eiji_attackAcidArrowHitBody" , 2 => 0x553
"dervish_DustDevil" , 2 => 0x554
"cyclops_threateningGlare" , 2 => 0x555
"cyclopsGreater_threateningGlare" , 2 => 0x556
"cyclopsGreater_Shockwave" , 2 => 0x557
"cyclopsGreater_EyeBeam" , 2 => 0x558
"cripplingBlow" , 2 => 0x559
"contamination" , 2 => 0x55a
"conditional , 2 => 0x55b
"clearArea" , 2 => 0x55c
"channeler_moveHover" , 2 => 0x55d
"channeler_affinityWaterCast" , 2 => 0x55e
"channeler_affinityWater3Cast" , 2 => 0x55f
"channeler_affinityFire3Cast" , 2 => 0x560
"channeler_affinityDrain" , 2 => 0x561
"castleGreyskull" , 2 => 0x562
"burrowUp" , 2 => 0x563
"burrowDown" , 2 => 0x564
"breakDefense" , 2 => 0x565
"boltCast" , 2 => 0x566
"bladeslapVStrikeOne" , 2 => 0x567
"bear" , 2 => 0x568
"ambush , 2 => 0x569
"amazon_sparksCast" , 2 => 0x56a
"always , 2 => 0x56b
"affinityWater_waterBlast" , 2 => 0x56c
"affinityFire_fireBlast" , 2 => 0x56d
"affinityEarth_earthBlast" , 2 => 0x56e
"affinityAir_airBlast" , 2 => 0x56f
"actSpinSlashcombo5" , 2 => 0x570
"actSpellDirectional" , 2 => 0x571
"actSpellCircular" , 2 => 0x572
"actSpell1" , 2 => 0x573
"actSpell" , 2 => 0x574
"actDualThrustF" , 2 => 0x575
"actBiteBasic" , 2 => 0x576
"actAxeSwingT" , 2 => 0x577
"act2AxeSwingBR" , 2 => 0x578
"SongEnd" , 2 => 0x579
"Pass" , 2 => 0x57a
"DarkGodFace , 2 => 0x57b
"Dark , 2 => 0x57c
"Continue" , 2 => 0x57d
"Cone" , 2 => 0x57e
"Command" , 2 => 0x57f
"B,B,B,B,B" , 2 => 0x580
"047.047" , 2 => 0x581
"040.036" , 2 => 0x582
"037.000" , 2 => 0x583
"*,*" , 2 => 0x584
up" , 1 => 0x585
up , 1 => 0x586
step , 1 => 0x587
shieldmelt" , 1 => 0x588
shield , 1 => 0x589
regen" , 1 => 0x58a
react" , 1 => 0x58b
noncummulative" , 1 => 0x58c
movetoattack" , 1 => 0x58d
limit" , 1 => 0x58e
item , 1 => 0x58f
front , 1 => 0x590
effectiveness" , 1 => 0x591
count" , 1 => 0x592
chance , 1 => 0x593
blast , 1 => 0x594
accuracyadd" , 1 => 0x595
YowlofPain" , 1 => 0x596
WoundedAnimal" , 1 => 0x597
Wolf_Summoned" , 1 => 0x598
WiseGuySub" , 1 => 0x599
WindMovement" , 1 => 0x59a
Wideswing" , 1 => 0x59b
WhistlingArrow" , 1 => 0x59c
WeatheredChitin , 1 => 0x59d
WeaponThrow" , 1 => 0x59e
Water , 1 => 0x59f
VigorTheft" , 1 => 0x5a0
Ursula" , 1 => 0x5a1
UpwardSlash" , 1 => 0x5a2
Upperhand" , 1 => 0x5a3
Up , 1 => 0x5a4
UndeadMelee" , 1 => 0x5a5
UndeadCaster" , 1 => 0x5a6
Unbreakable" , 1 => 0x5a7
Turtle" , 1 => 0x5a8
Turlte , 1 => 0x5a9
Tunnel" , 1 => 0x5aa
TransferAffinity" , 1 => 0x5ab
Trample" , 1 => 0x5ac
TotemoftheFalcon" , 1 => 0x5ad
TotemoftheBear" , 1 => 0x5ae
TorsoSmash" , 1 => 0x5af
ThickenedPelt" , 1 => 0x5b0
ThickSkull" , 1 => 0x5b1
TailWhirl" , 1 => 0x5b2
TailWhip" , 1 => 0x5b3
SurpriseAttack" , 1 => 0x5b4
SuperRange" , 1 => 0x5b5
SuperCritical" , 1 => 0x5b6
SummoningTomb" , 1 => 0x5b7
SummonWolf" , 1 => 0x5b8
SummonWaterBeast" , 1 => 0x5b9
SummonWaterAffinityBeast" , 1 => 0x5ba
SummonTaintedWaterBeast" , 1 => 0x5bb
SummonTaintedFireBeast" , 1 => 0x5bc
SummonTaintedEarthBeast" , 1 => 0x5bd
SummonTaintedAirBeast" , 1 => 0x5be
SummonTWaterAffinityBeast" , 1 => 0x5bf
SummonTFireAffinityBeast" , 1 => 0x5c0
SummonTEarthAffinityBeast" , 1 => 0x5c1
SummonTAirAffinityBeast" , 1 => 0x5c2
SummonLightShield" , 1 => 0x5c3
SummonFireBeast" , 1 => 0x5c4
SummonFireAffinityBeast" , 1 => 0x5c5
SummonEarthBeast" , 1 => 0x5c6
SummonEarthAffinityBeast" , 1 => 0x5c7
SummonCat" , 1 => 0x5c8
SummonAirBeast" , 1 => 0x5c9
SummonAirAffinityBeast" , 1 => 0x5ca
SummonAffinityPower" , 1 => 0x5cb
StrengthUPWithDamage" , 1 => 0x5cc
StrengthUP" , 1 => 0x5cd
StinkBug" , 1 => 0x5ce
StiffWind" , 1 => 0x5cf
Stench" , 1 => 0x5d0
Stampede" , 1 => 0x5d1
Squat" , 1 => 0x5d2
Spur" , 1 => 0x5d3
Spray" , 1 => 0x5d4
Spray , 1 => 0x5d5
SplinteringBones" , 1 => 0x5d6
SpellBlast" , 1 => 0x5d7
SpecialRewards" , 1 => 0x5d8
Song:FuryofNorth" , 1 => 0x5d9
Song:Fear" , 1 => 0x5da
Song:EternalDusk" , 1 => 0x5db
Song:BattleMarch" , 1 => 0x5dc
SmackBack" , 1 => 0x5dd
Slow" , 1 => 0x5de
SiblingRivalry" , 1 => 0x5df
ShriekOfDisruption" , 1 => 0x5e0
ShieldSnip" , 1 => 0x5e1
ShieldSmash , 1 => 0x5e2
ShieldRam" , 1 => 0x5e3
ShieldMastery" , 1 => 0x5e4
ShieldHit , 1 => 0x5e5
ShieldCounter" , 1 => 0x5e6
Shield , 1 => 0x5e7
ShatterSelf" , 1 => 0x5e8
ScaredStiff" , 1 => 0x5e9
ScareAttack" , 1 => 0x5ea
SacrificeAlly" , 1 => 0x5eb
SKILLSTATUSINTERVAL2: , 1 => 0x5ec
SKILLSPLITEFFECT: , 1 => 0x5ed
RoundhouseKick" , 1 => 0x5ee
RotHelmet" , 1 => 0x5ef
Restore" , 1 => 0x5f0
Reprimand" , 1 => 0x5f1
RemoveShield" , 1 => 0x5f2
RegenHP" , 1 => 0x5f3
RazorArrow" , 1 => 0x5f4
Rapidshot , 1 => 0x5f5
RangeUP" , 1 => 0x5f6
RandomTeleport" , 1 => 0x5f7
Rally" , 1 => 0x5f8
RagingBear" , 1 => 0x5f9
RIposteSub" , 1 => 0x5fa
Purge" , 1 => 0x5fb
PullDown" , 1 => 0x5fc
PreemptiveBlindCounterSub" , 1 => 0x5fd
PowerStrike" , 1 => 0x5fe
PoisonSpittle" , 1 => 0x5ff
PoisonFlick" , 1 => 0x600
PoisonBlock" , 1 => 0x601
PoisonArrow" , 1 => 0x602
PoinBlankPowered" , 1 => 0x603
PincherAttacks" , 1 => 0x604
PierceDefense" , 1 => 0x605
PetrifyBlock" , 1 => 0x606
PenetratingStare" , 1 => 0x607
Peltast , 1 => 0x608
Paralyze" , 1 => 0x609
Overrun" , 1 => 0x60a
OverheadSmash" , 1 => 0x60b
OlderBrother" , 1 => 0x60c
NumbingBlows" , 1 => 0x60d
Nimble" , 1 => 0x60e
NerveArrow" , 1 => 0x60f
NegateStun" , 1 => 0x610
NegatePoison" , 1 => 0x611
NegateCrowdDown" , 1 => 0x612
NegateCritical" , 1 => 0x613
NegateCharmConfusion" , 1 => 0x614
NegateBlind" , 1 => 0x615
NUMENTRIES: , 1 => 0x616
NORDAGH" , 1 => 0x617
Mutuus" , 1 => 0x618
MuniosSpirit" , 1 => 0x619
MoveUP" , 1 => 0x61a
MoveToAttackUP" , 1 => 0x61b
Motivate" , 1 => 0x61c
Moo" , 1 => 0x61d
MerryJig" , 1 => 0x61e
Maze" , 1 => 0x61f
MandibleSwipe" , 1 => 0x620
MagicUP" , 1 => 0x621
MagicStrengthUP" , 1 => 0x622
MagicDefUP" , 1 => 0x623
MadRage" , 1 => 0x624
Lunge" , 1 => 0x625
LowerDefense" , 1 => 0x626
LightningReflexes" , 1 => 0x627
LightGuard" , 1 => 0x628
LightBeam" , 1 => 0x629
LecherousGrin" , 1 => 0x62a
LabyrinthSenses" , 1 => 0x62b
JugThrow" , 1 => 0x62c
JugBonk" , 1 => 0x62d
JoltArrow" , 1 => 0x62e
Invulnerability" , 1 => 0x62f
InvigoratingSpirits" , 1 => 0x630
InfallibleAim" , 1 => 0x631
Incapacitate" , 1 => 0x632
Impel" , 1 => 0x633
Impale" , 1 => 0x634
Immunity" , 1 => 0x635
IcicleBreath" , 1 => 0x636
IcarusWings" , 1 => 0x637
Humiliate" , 1 => 0x638
Hug , 1 => 0x639
HellGate" , 1 => 0x63a
HeavyPaw" , 1 => 0x63b
HeavenlySpear" , 1 => 0x63c
HealingLight" , 1 => 0x63d
HealGem" , 1 => 0x63e
HairOfTheDog" , 1 => 0x63f
HPUP" , 1 => 0x640
GutBasher" , 1 => 0x641
Gungnir , 1 => 0x642
Growl" , 1 => 0x643
GrimReaper" , 1 => 0x644
GreaterAttack" , 1 => 0x645
GraveRot" , 1 => 0x646
GraveLaughter" , 1 => 0x647
GougingFury" , 1 => 0x648
Gore" , 1 => 0x649
GiantHitWater" , 1 => 0x64a
GiantHitFire" , 1 => 0x64b
GiantHitEarth" , 1 => 0x64c
GiantHitAir" , 1 => 0x64d
GasImmunity" , 1 => 0x64e
