SKILLCOSTS: 1 0  => 0x0
SKILLSTATUSSITUATIONSTATUSCONDITION2: "statuscond bleeding"  => 0x620
SKILLSTATUSSITUATIONSKILLCONDITION: "skillattr req piercing"  => 0x621
SKILLSTATUSSITUATIONSKILLCONDITION: "skillattr req melee"  => 0x622
SKILLSTATUSSITUATIONSKILLCONDITION: "skillattr ign spell"  => 0x623
SKILLSTATUSSITUATIONSKILLCONDITION: "skillattr ign affinity"  => 0x624
SKILLSTATUSSITUATIONSKILLCONDITION: "skill: Peltast Cover"  => 0x625
SKILLSTATUSSITUATIONSKILLCONDITION: "skill: Mongrel KickingAttack III"  => 0x626
SKILLSTATUSSITUATIONSKILLCONDITION: "skill: Mongrel KickingAttack II"  => 0x627
SKILLSTATUSSITUATIONSKILLCONDITION: "skill: Mongrel KickingAttack I"  => 0x628
SKILLSTATUSSITUATIONSKILLCONDITION: "skill: Gungnir Cover"  => 0x629
SKILLSTATUSSITUATIONSKILLCONDITION: "skill: Archer Cover"  => 0x62a
SKILLSTATUSSITUATIONSKILLCONDITION: "skill: Amazon Cover"  => 0x62b
SKILLSTATUSSITUATIONAFFINITYCONDITION: "affinity req earth"  => 0x62c
SKILLSTATUSSITUATIONAFFINITYCONDITION: "affinity req dark"  => 0x62d
SKILLSTATUSSITUATIONAFFINITYCONDITION2: "affinity req water"  => 0x62e
SKILLSTATUSSITUATIONAFFINITYCONDITION2: "affinity req earth"  => 0x62f
SKILLSTATUSSITUATIONAFFINITYCONDITION2: "affinity req air"  => 0x630
SKILLSTATUSSITUATIONAFFINITYCONDITION2: "affinity ign water"  => 0x631
SKILLSTATUSSITUATIONAFFINITYCONDITION2: "affinity ign fire"  => 0x632
SKILLSTATUSSITUATIONAFFINITYCONDITION2: "affinity ign earth"  => 0x633
SKILLSTATUSSITUATIONAFFINITYCONDITION2: "affinity ign dark"  => 0x634
SKILLSTATUSSITUATIONAFFINITYCONDITION2: "affinity ign air"  => 0x635
SKILLSTATUSINTERVAL: "Turns Source" 1  => 0x636
SKILLSTATUSINTERVAL: "Stack Absolute" 7  => 0x637
SKILLSTATUSINTERVAL: "Stack Absolute" 3  => 0x638
SKILLSTATUSINTERVAL: "Stack Absolute" 20  => 0x639
SKILLSTATUSINTERVAL2: "Stack Absolute" 1  => 0x63a
SKILLSTATUSDURATION: "Until Negated" 5  => 0x63b
SKILLSTATUSDURATION: "Until Negated" 300  => 0x63c
SKILLSTATUSDURATION: "Turns Target" 1  => 0x63d
SKILLSTATUSDURATION: "Turns Source" 5  => 0x63e
SKILLSTATUSDURATION: "Stack Target Mult" 4  => 0x63f
SKILLSTATUSDURATION: "Stack Target Mult" 10  => 0x640
SKILLSTATUSDURATION: "Stack Target Mult" 1.75  => 0x641
SKILLSTATUSDURATION: "Stack Target Mult" 0  => 0x642
SKILLSTATUSDURATION: "Stack Source Mult" 7  => 0x643
SKILLSTATUSDURATION: "Stack Absolute" 60  => 0x644
SKILLSTATUSDURATION2: "Stack Target Mult" 2  => 0x645
SKILLSTATUSDURATION2: "Stack Source Mult" 1.5  => 0x646
SKILLSTATUSDURATION2: "Stack Source Mult" 1  => 0x647
SKILLSTATUSCONDITION: "targetstatus req woundedquarter"  => 0x648
SKILLSTATUSCONDITION: "target has shield"  => 0x649
SKILLSTATUSCONDITION: "sourcestatus req woundedquarter"  => 0x64a
SKILLSTATUSCONDITION: "sourcestatus req wounded"  => 0x64b
SKILLSTATUSCONDITION: "self only"  => 0x64c
SKILLSTATUSCONDITION: "class: WolfGreater"  => 0x64d
SKILLSTATUSCONDITION: "class: Ursula"  => 0x64e
SKILLSTATUSCONDITION: "class: Urlan"  => 0x64f
SKILLSTATUSCONDITION: "class: Mutuus"  => 0x650
SKILLSTATUSCONDITION: "class: Legionnaire"  => 0x651
SKILLSTATUSCONDITION: "class: Centurion"  => 0x652
SKILLSTATUSCONDITION: "class: Bear"  => 0x653
SKILLSTATUSCONDITION: "class: Bandit"  => 0x654
SKILLSTATUSCONDITION2: "targetstatus req woundedquarter"  => 0x655
SKILLSTATUSCONDITION2: "enemy only"  => 0x656
SKILLSTATUSCONDITION2: "class: WolfGreater"  => 0x657
SKILLSTATUSCONDITION2: "class: Legionnaire"  => 0x658
SKILLSTATUSCONDITION2: "class: Bandit"  => 0x659
SKILLSTATUSCHANCE: 50  => 0x65a
SKILLSTATUS: "stun" 20 1  => 0x65b
SKILLSTATUS: "skill meta range add" 100 3  => 0x65c
SKILLSTATUS: "simple counterattack" 50 1  => 0x65d
SKILLSTATUS: "set step up limit" 100 8  => 0x65e
SKILLSTATUS: "poison" 90 1  => 0x65f
SKILLSTATUS: "poison" 100 20  => 0x660
SKILLSTATUS: "poison" 10 3  => 0x661
SKILLSTATUS: "petrification" 75 1  => 0x662
SKILLSTATUS: "petrification" 25 1  => 0x663
SKILLSTATUS: "mult shield effectiveness" 100 2  => 0x664
SKILLSTATUS: "mult off affinity charge rate" 100 2  => 0x665
SKILLSTATUS: "mult def affinity charge rate" 100 0.5  => 0x666
SKILLSTATUS: "hpregen" 100 20  => 0x667
SKILLSTATUS: "hpregen noncummulative" 25 25  => 0x668
SKILLSTATUS: "frozen" 75 1  => 0x669
SKILLSTATUS: "frozen" 70 0  => 0x66a
SKILLSTATUS: "fear" 75 1  => 0x66b
SKILLSTATUS: "dropped item chance up" 100 50  => 0x66c
SKILLSTATUS: "doom count" 100 5  => 0x66d
SKILLSTATUS: "confusion" 80 1  => 0x66e
SKILLSTATUS: "confusion" 75 1  => 0x66f
SKILLSTATUS: "confusion" 50 1  => 0x670
SKILLSTATUS: "combatdefend face front mult" 100 0.5  => 0x671
SKILLSTATUS: "combatdefend defenseadd" 100 20  => 0x672
SKILLSTATUS: "combatdefend defenseadd" 100 10  => 0x673
SKILLSTATUS: "combatdefend damagemult" 100 2.5  => 0x674
SKILLSTATUS: "combatdefend damagemult" 100 1.5  => 0x675
SKILLSTATUS: "combatdefend damagemult" 100 1.1  => 0x676
SKILLSTATUS: "combatdefend damagemult" 100 0.899999976158142  => 0x677
SKILLSTATUS: "combatdefend damagemult" 100 0.85  => 0x678
SKILLSTATUS: "combatdefend damagemult" 100 0.800000011920929  => 0x679
SKILLSTATUS: "combatdefend damagemult" 100 0.8  => 0x67a
SKILLSTATUS: "combatdefend damagemult" 100 0.7  => 0x67b
SKILLSTATUS: "combatdefend damagemult" 100 0  => 0x67c
SKILLSTATUS: "combatdefend critmult" 100 0  => 0x67d
SKILLSTATUS: "combatattack face back mult" 100 4  => 0x67e
SKILLSTATUS: "combatattack damagemult" 100 2  => 0x67f
SKILLSTATUS: "combatattack damagemult" 100 1.10000002384186  => 0x680
SKILLSTATUS: "combatattack critmult" 100 1.4  => 0x681
SKILLSTATUS: "combatattack accuracyadd" 100 10  => 0x682
SKILLSTATUS: "charm" 100 1  => 0x683
SKILLSTATUS: "change power percent" 100 20  => 0x684
SKILLSTATUS: "change power percent" 100 -5  => 0x685
SKILLSTATUS: "change off affinity charge rate" 100 2  => 0x686
SKILLSTATUS: "change off affinity charge rate" 100 1.5  => 0x687
SKILLSTATUS: "change movetoattack" 100 1  => 0x688
SKILLSTATUS: "change moverate" 100 80  => 0x689
SKILLSTATUS: "change moverate" 100 30  => 0x68a
SKILLSTATUS: "change moverate" 100 10  => 0x68b
SKILLSTATUS: "change moverate" 100 -80  => 0x68c
SKILLSTATUS: "change moverate" 100 -70  => 0x68d
SKILLSTATUS: "change moverate percent" 100 30  => 0x68e
SKILLSTATUS: "change initiative" 100 5  => 0x68f
SKILLSTATUS: "change initiative" 100 40  => 0x690
SKILLSTATUS: "change initiative" 100 15  => 0x691
SKILLSTATUS: "change initiative" 100 -5  => 0x692
SKILLSTATUS: "change initiative" 100 -30  => 0x693
SKILLSTATUS: "change initiative percent" 80 -10  => 0x694
SKILLSTATUS: "change initiative percent" 100 30  => 0x695
SKILLSTATUS: "change initiative percent" 100 20  => 0x696
SKILLSTATUS: "change initiative percent" 100 -25  => 0x697
SKILLSTATUS: "change initiative percent" 100 -15  => 0x698
SKILLSTATUS: "change defense" 100 -5  => 0x699
SKILLSTATUS: "change defense" 100 -20  => 0x69a
SKILLSTATUS: "change defense" 100 -15  => 0x69b
SKILLSTATUS: "change accuracy" 100 15  => 0x69c
SKILLSTATUS: "change accuracy" 100 -5  => 0x69d
SKILLSTATUS: "bleeding" 50 5  => 0x69e
SKILLSTATUS: "bleeding" 100 2  => 0x69f
SKILLSTATUS: "auto regen" 100 50  => 0x6a0
SKILLSTATUS2: "poison" 100 1  => 0x6a1
SKILLSTATUS2: "mult def affinity charge rate" 100 2  => 0x6a2
SKILLSTATUS2: "mult def affinity charge rate" 100 1.5  => 0x6a3
SKILLSTATUS2: "immunity status" 100 0  => 0x6a4
SKILLSTATUS2: "crowd positive mult" 100 1.2  => 0x6a5
SKILLSTATUS2: "combatdefend damagemult" 100 2.5  => 0x6a6
SKILLSTATUS2: "combatdefend damagemult" 100 0.5  => 0x6a7
SKILLSTATUS2: "combatdefend damagemult" 100 0.01  => 0x6a8
SKILLSTATUS2: "combatattack damagemult" 80 0.9  => 0x6a9
SKILLSTATUS2: "combatattack damagemult" 100 2  => 0x6aa
SKILLSTATUS2: "change power percent" 100 5  => 0x6ab
SKILLSTATUS2: "change power percent" 100 20  => 0x6ac
SKILLSTATUS2: "change moverate" 100 20  => 0x6ad
SKILLSTATUS2: "change initiative" 100 -30  => 0x6ae
SKILLSTATUS2: "blind" 50 1  => 0x6af
SKILLSPLITEFFECTCONDITION: "class: UndeadMelee"  => 0x6b0
SKILLSPLITEFFECTCONDITION: "class: UndeadCaster"  => 0x6b1
SKILLSPLITEFFECTCONDITION: "class: DarkWolf"  => 0x6b2
SKILLSPLITEFFECTCONDITION: "class: DarkLegionnaire"  => 0x6b3
SKILLSPLITEFFECTCONDITION: "class: DarkGod"  => 0x6b4
SKILLSPLITEFFECTCONDITION: "class: DarkCat"  => 0x6b5
SKILLSPLITEFFECT: "Change HP Relative" -0.1  => 0x6b6
SKILLSOUND: "050.050"  => 0x6b7
SKILLSOUND: "049.049"  => 0x6b8
SKILLSOUND: "046.046"  => 0x6b9
SKILLSOUND: "042.041"  => 0x6ba
SKILLSOUND: "041.037"  => 0x6bb
SKILLSOUND: "041."  => 0x6bc
SKILLSOUND: "039.038"  => 0x6bd
SKILLSOUND: "038.000"  => 0x6be
SKILLSOUND: "030.030"  => 0x6bf
SKILLSOUND: "020.020"  => 0x6c0
SKILLSOUND: "000.038"  => 0x6c1
SKILLSOUND: "000.000"  => 0x6c2
SKILLSHIFTDATA: "Wolf" "Black" 5 0 0 0 5 5 0  => 0x6c3
SKILLSHIFTDATA: "Wolf" "Black" 2 0 0 0 5 5 0  => 0x6c4
SKILLSHIFTDATA: "Cat" "Black" 15 -5 -5 15 1 10 0  => 0x6c5
SKILLSHIFTDATA: "Cat" "Black" 10 -5 -5 10 0 10 0  => 0x6c6
SKILLSHIFTDATA: "Cat" "Black" 0 0 0 5 0 5 0  => 0x6c7
SKILLSHIFTDATA: "BerserkerEnraged" "White" 15 15 30 5 -20 0 0  => 0x6c8
SKILLSHIFTDATA: "BerserkerEnraged" "White" 0 7 8 0 -5 0 0  => 0x6c9
SKILLSHIFTDATA: "BerserkerEnraged" "White" 0 7 16 5 -10 0 0  => 0x6ca
SKILLSHIFTDATA: "BerserkerEnraged" "Black" 10 10 20 5 -15 0 0  => 0x6cb
SKILLSHIFTDATA: "Bear" "Black" 5 5 5 0 0 0 0  => 0x6cc
SKILLSHIFTDATA: "Bear" "Black" 5 10 15 0 -5 -5 0  => 0x6cd
SKILLSHIFTDATA: "Bear" "Black" 5 10 10 0 -5 -5 0  => 0x6ce
SKILLSHIFTDATA: "Bear" "Black" 15 10 15 0 0 -5 0  => 0x6cf
SKILLSHIFTDATA: "Bear" "Black" 10 10 10 0 0 -5 0  => 0x6d0
SKILLSHIFTDATA: "Bear" "Black" 0 5 5 0 0 0 0  => 0x6d1
SKILLREPLACES: "Secutor Wiseguy"  => 0x6d2
SKILLREPLACES: "Satyr Wiseguy"  => 0x6d3
SKILLREPLACES: "Gwazi Wiseguy"  => 0x6d4
SKILLRANGE: 8 "Square"  => 0x6d5
SKILLRANGE: 5 "Plus"  => 0x6d6
SKILLRANGE: 4 "Plus2x2"  => 0x6d7
SKILLRANGE: 2 "Linear"  => 0x6d8
SKILLPROXY: "affinityFireGreater" "Affinity4"  => 0x6d9
SKILLPROXY: "DarkAffinityWaterGreater" "affinity4"  => 0x6da
SKILLPROXY: "DarkAffinityFireGreater" "affinity4"  => 0x6db
SKILLPROXY: "DarkAffinityEarthGreater" "affinity4"  => 0x6dc
SKILLPROXY: "DarkAffinityAirGreater" "affinity4"  => 0x6dd
SKILLPROJECTILESEQUENCE: "all" "always" "chainzigzag" 2  => 0x6de
SKILLPROJECTILEROTATION: 1 0 0 6  => 0x6df
SKILLPROJECTILEROTATION: 1 0 0 30  => 0x6e0
SKILLPROJECTILEROTATION: 1 0 0 15  => 0x6e1
SKILLPROJECTILE: "weapon2" "yaxis" 2  => 0x6e2
SKILLPROJECTILE: "weapon1" "xaxis" 11  => 0x6e3
SKILLPREREQ: "Yeti WaterAffinity III"  => 0x6e4
SKILLPREREQ: "Yeti WaterAffinity II"  => 0x6e5
SKILLPREREQ: "Yeti WaterAffinity I"  => 0x6e6
SKILLPREREQ: "Yeti FireAffinity III"  => 0x6e7
SKILLPREREQ: "Yeti FireAffinity II"  => 0x6e8
SKILLPREREQ: "Yeti FireAffinity I"  => 0x6e9
SKILLPREREQ: "Yeti EarthAffinity III"  => 0x6ea
SKILLPREREQ: "Yeti EarthAffinity II"  => 0x6eb
SKILLPREREQ: "Yeti EarthAffinity I"  => 0x6ec
SKILLPREREQ: "Yeti Defend"  => 0x6ed
SKILLPREREQ: "Yeti AirAffinity III"  => 0x6ee
SKILLPREREQ: "Yeti AirAffinity II"  => 0x6ef
SKILLPREREQ: "Yeti AirAffinity I"  => 0x6f0
SKILLPREREQ: "WolfGreater PackMentality I"  => 0x6f1
SKILLPREREQ: "Wolf EarthAffinity III"  => 0x6f2
SKILLPREREQ: "Wolf EarthAffinity II"  => 0x6f3
SKILLPREREQ: "Wolf EarthAffinity I"  => 0x6f4
SKILLPREREQ: "Valens WaterAffinity III"  => 0x6f5
SKILLPREREQ: "Valens WaterAffinity II"  => 0x6f6
SKILLPREREQ: "Valens WaterAffinity I"  => 0x6f7
SKILLPREREQ: "Valens FireAffinity III"  => 0x6f8
SKILLPREREQ: "Valens FireAffinity II"  => 0x6f9
SKILLPREREQ: "Valens FireAffinity I"  => 0x6fa
SKILLPREREQ: "Valens EarthAffinity III"  => 0x6fb
SKILLPREREQ: "Valens EarthAffinity II"  => 0x6fc
SKILLPREREQ: "Valens EarthAffinity I"  => 0x6fd
SKILLPREREQ: "Valens AirAffinity III"  => 0x6fe
SKILLPREREQ: "Valens AirAffinity II"  => 0x6ff
SKILLPREREQ: "Valens AirAffinity I"  => 0x700
SKILLPREREQ: "Ursula WaterAffinity III"  => 0x701
SKILLPREREQ: "Ursula WaterAffinity II"  => 0x702
SKILLPREREQ: "Ursula WaterAffinity I"  => 0x703
SKILLPREREQ: "Ursula FireAffinity III"  => 0x704
SKILLPREREQ: "Ursula FireAffinity II"  => 0x705
SKILLPREREQ: "Ursula FireAffinity I"  => 0x706
SKILLPREREQ: "Ursula EarthAffinity III"  => 0x707
SKILLPREREQ: "Ursula EarthAffinity II"  => 0x708
SKILLPREREQ: "Ursula EarthAffinity I"  => 0x709
SKILLPREREQ: "Ursula AirAffinity III"  => 0x70a
SKILLPREREQ: "Ursula AirAffinity II"  => 0x70b
SKILLPREREQ: "Ursula AirAffinity I"  => 0x70c
SKILLPREREQ: "Urlan WolfForm II"  => 0x70d
SKILLPREREQ: "Urlan WolfForm I"  => 0x70e
SKILLPREREQ: "Urlan WaterAffinity III"  => 0x70f
SKILLPREREQ: "Urlan WaterAffinity II"  => 0x710
SKILLPREREQ: "Urlan WaterAffinity I"  => 0x711
SKILLPREREQ: "Urlan FireAffinity III"  => 0x712
SKILLPREREQ: "Urlan FireAffinity II"  => 0x713
SKILLPREREQ: "Urlan FireAffinity I"  => 0x714
SKILLPREREQ: "Urlan EarthAffinity III"  => 0x715
SKILLPREREQ: "Urlan EarthAffinity II"  => 0x716
SKILLPREREQ: "Urlan EarthAffinity I"  => 0x717
SKILLPREREQ: "Urlan CatForm II"  => 0x718
SKILLPREREQ: "Urlan CatForm I"  => 0x719
SKILLPREREQ: "Urlan BearForm II"  => 0x71a
SKILLPREREQ: "Urlan BearForm I"  => 0x71b
SKILLPREREQ: "Urlan AirAffinity III"  => 0x71c
SKILLPREREQ: "Urlan AirAffinity II"  => 0x71d
SKILLPREREQ: "Urlan AirAffinity I"  => 0x71e
SKILLPREREQ: "UndeadMelee Defend I"  => 0x71f
SKILLPREREQ: "UndeadMelee DarkAffinity II"  => 0x720
SKILLPREREQ: "UndeadMelee DarkAffinity I"  => 0x721
SKILLPREREQ: "UndeadCaster SummonSkeleton"  => 0x722
SKILLPREREQ: "UndeadCaster DarkAffinity II"  => 0x723
SKILLPREREQ: "UndeadCaster DarkAffinity I"  => 0x724
SKILLPREREQ: "Summoner WaterAffinity III"  => 0x725
SKILLPREREQ: "Summoner WaterAffinity II"  => 0x726
SKILLPREREQ: "Summoner WaterAffinity I"  => 0x727
SKILLPREREQ: "Summoner Turtle I"  => 0x728
SKILLPREREQ: "Summoner SummonSkeleton I"  => 0x729
SKILLPREREQ: "Summoner SummonLich I"  => 0x72a
SKILLPREREQ: "Summoner FireAffinity III"  => 0x72b
SKILLPREREQ: "Summoner FireAffinity II"  => 0x72c
SKILLPREREQ: "Summoner FireAffinity I"  => 0x72d
SKILLPREREQ: "Summoner EarthAffinity III"  => 0x72e
SKILLPREREQ: "Summoner EarthAffinity II"  => 0x72f
SKILLPREREQ: "Summoner EarthAffinity I"  => 0x730
SKILLPREREQ: "Summoner AirAffinity III"  => 0x731
SKILLPREREQ: "Summoner AirAffinity II"  => 0x732
SKILLPREREQ: "Summoner Affinity I"  => 0x733
SKILLPREREQ: "Secutor Wiseguy"  => 0x734
SKILLPREREQ: "Secutor WaterAffinity III"  => 0x735
SKILLPREREQ: "Secutor WaterAffinity II"  => 0x736
SKILLPREREQ: "Secutor WaterAffinity I"  => 0x737
SKILLPREREQ: "Secutor Run I"  => 0x738
SKILLPREREQ: "Secutor FireAffinity III"  => 0x739
SKILLPREREQ: "Secutor FireAffinity II"  => 0x73a
SKILLPREREQ: "Secutor FireAffinity I"  => 0x73b
SKILLPREREQ: "Secutor Evade II"  => 0x73c
SKILLPREREQ: "Secutor EarthAffinity III"  => 0x73d
SKILLPREREQ: "Secutor EarthAffinity II"  => 0x73e
SKILLPREREQ: "Secutor EarthAffinity I"  => 0x73f
SKILLPREREQ: "Secutor AirAffinity III"  => 0x740
SKILLPREREQ: "Secutor AirAffinity II"  => 0x741
SKILLPREREQ: "Secutor AirAffinity I"  => 0x742
SKILLPREREQ: "Scorpion WaterAffinity III"  => 0x743
SKILLPREREQ: "Scorpion WaterAffinity II"  => 0x744
SKILLPREREQ: "Scorpion WaterAffinity I"  => 0x745
SKILLPREREQ: "Scorpion Defend I"  => 0x746
SKILLPREREQ: "Scarab FireAffinity III"  => 0x747
SKILLPREREQ: "Scarab FireAffinity II"  => 0x748
SKILLPREREQ: "Scarab FireAffinity I"  => 0x749
SKILLPREREQ: "Satyr Wiseguy"  => 0x74a
SKILLPREREQ: "Satyr WaterAffinity III"  => 0x74b
SKILLPREREQ: "Satyr WaterAffinity II"  => 0x74c
SKILLPREREQ: "Satyr WaterAffinity I"  => 0x74d
SKILLPREREQ: "Satyr Turtle I"  => 0x74e
SKILLPREREQ: "Satyr FlammableBreath II"  => 0x74f
SKILLPREREQ: "Satyr FireAffinity III"  => 0x750
SKILLPREREQ: "Satyr FireAffinity II"  => 0x751
SKILLPREREQ: "Satyr FireAffinity I"  => 0x752
SKILLPREREQ: "Satyr Evade"  => 0x753
SKILLPREREQ: "Satyr Evade II"  => 0x754
SKILLPREREQ: "Satyr EarthAffinity III"  => 0x755
SKILLPREREQ: "Satyr EarthAffinity II"  => 0x756
SKILLPREREQ: "Satyr EarthAffinity I"  => 0x757
SKILLPREREQ: "Satyr AirAffinity III"  => 0x758
SKILLPREREQ: "Satyr AirAffinity II"  => 0x759
SKILLPREREQ: "Satyr AirAffinity I"  => 0x75a
SKILLPREREQ: "Samnite WaterAffinity III"  => 0x75b
SKILLPREREQ: "Samnite WaterAffinity II"  => 0x75c
SKILLPREREQ: "Samnite WaterAffinity I"  => 0x75d
SKILLPREREQ: "Samnite FireAffinity III"  => 0x75e
SKILLPREREQ: "Samnite FireAffinity II"  => 0x75f
SKILLPREREQ: "Samnite FireAffinity I"  => 0x760
SKILLPREREQ: "Samnite EarthAffinity III"  => 0x761
SKILLPREREQ: "Samnite EarthAffinity II"  => 0x762
SKILLPREREQ: "Samnite EarthAffinity I"  => 0x763
SKILLPREREQ: "Samnite AirAffinity III"  => 0x764
SKILLPREREQ: "Samnite AirAffinity II"  => 0x765
SKILLPREREQ: "Samnite AirAffinity I"  => 0x766
SKILLPREREQ: "Peltast WaterAffinity III"  => 0x767
SKILLPREREQ: "Peltast WaterAffinity II"  => 0x768
SKILLPREREQ: "Peltast WaterAffinity I"  => 0x769
SKILLPREREQ: "Peltast FireAffinity III"  => 0x76a
SKILLPREREQ: "Peltast FireAffinity II"  => 0x76b
SKILLPREREQ: "Peltast FireAffinity I"  => 0x76c
SKILLPREREQ: "Peltast EarthAffinity III"  => 0x76d
SKILLPREREQ: "Peltast EarthAffinity II"  => 0x76e
SKILLPREREQ: "Peltast EarthAffinity I"  => 0x76f
SKILLPREREQ: "Peltast AirAffinity III"  => 0x770
SKILLPREREQ: "Peltast AirAffinity II"  => 0x771
SKILLPREREQ: "Peltast AirAffinity I"  => 0x772
SKILLPREREQ: "Ogre WaterAffinity III"  => 0x773
SKILLPREREQ: "Ogre WaterAffinity II"  => 0x774
SKILLPREREQ: "Ogre WaterAffinity I"  => 0x775
SKILLPREREQ: "Ogre FireAffinity III"  => 0x776
SKILLPREREQ: "Ogre FireAffinity II"  => 0x777
SKILLPREREQ: "Ogre FireAffinity I"  => 0x778
SKILLPREREQ: "Ogre EarthAffinity III"  => 0x779
SKILLPREREQ: "Ogre EarthAffinity II"  => 0x77a
SKILLPREREQ: "Ogre EarthAffinity I"  => 0x77b
SKILLPREREQ: "Ogre Defend I"  => 0x77c
SKILLPREREQ: "Ogre AirAffinity III"  => 0x77d
SKILLPREREQ: "Ogre AirAffinity II"  => 0x77e
SKILLPREREQ: "Ogre AirAffinity I"  => 0x77f
SKILLPREREQ: "Mutuus DarkAffinity II"  => 0x780
SKILLPREREQ: "Mutuus DarkAffinity I"  => 0x781
SKILLPREREQ: "Murmillo WaterAffinity III"  => 0x782
SKILLPREREQ: "Murmillo WaterAffinity II"  => 0x783
SKILLPREREQ: "Murmillo WaterAffinity I"  => 0x784
SKILLPREREQ: "Murmillo Turtle I"  => 0x785
SKILLPREREQ: "Murmillo FireAffinity III"  => 0x786
SKILLPREREQ: "Murmillo FireAffinity II"  => 0x787
SKILLPREREQ: "Murmillo FireAffinity I"  => 0x788
SKILLPREREQ: "Murmillo EarthAffinity III"  => 0x789
SKILLPREREQ: "Murmillo EarthAffinity II"  => 0x78a
SKILLPREREQ: "Murmillo EarthAffinity I"  => 0x78b
SKILLPREREQ: "Murmillo AirAffinity III"  => 0x78c
SKILLPREREQ: "Murmillo AirAffinity II"  => 0x78d
SKILLPREREQ: "Murmillo AirAffinity I"  => 0x78e
SKILLPREREQ: "MongrelShaman WaterAffinity III"  => 0x78f
SKILLPREREQ: "MongrelShaman WaterAffinity II"  => 0x790
SKILLPREREQ: "MongrelShaman WaterAffinity I"  => 0x791
SKILLPREREQ: "MongrelShaman Turtle I"  => 0x792
SKILLPREREQ: "MongrelShaman KickingAttack"  => 0x793
SKILLPREREQ: "MongrelShaman KickingAttack II"  => 0x794
SKILLPREREQ: "MongrelShaman FireAffinity III"  => 0x795
SKILLPREREQ: "MongrelShaman FireAffinity II"  => 0x796
SKILLPREREQ: "MongrelShaman FireAffinity I"  => 0x797
SKILLPREREQ: "MongrelShaman Evade"  => 0x798
SKILLPREREQ: "MongrelShaman Evade II"  => 0x799
SKILLPREREQ: "MongrelShaman EarthAffinity III"  => 0x79a
SKILLPREREQ: "MongrelShaman EarthAffinity II"  => 0x79b
SKILLPREREQ: "MongrelShaman EarthAffinity I"  => 0x79c
SKILLPREREQ: "MongrelShaman AirAffinity III"  => 0x79d
SKILLPREREQ: "MongrelShaman AirAffinity II"  => 0x79e
SKILLPREREQ: "MongrelShaman AirAffinity I"  => 0x79f
SKILLPREREQ: "Mongrel WaterAffinity III"  => 0x7a0
SKILLPREREQ: "Mongrel WaterAffinity II"  => 0x7a1
SKILLPREREQ: "Mongrel WaterAffinity I"  => 0x7a2
SKILLPREREQ: "Mongrel Turtle I"  => 0x7a3
SKILLPREREQ: "Mongrel FireAffinity III"  => 0x7a4
SKILLPREREQ: "Mongrel FireAffinity II"  => 0x7a5
SKILLPREREQ: "Mongrel FireAffinity I"  => 0x7a6
SKILLPREREQ: "Mongrel Evade"  => 0x7a7
SKILLPREREQ: "Mongrel Evade II"  => 0x7a8
SKILLPREREQ: "Mongrel EarthAffinity III"  => 0x7a9
SKILLPREREQ: "Mongrel EarthAffinity II"  => 0x7aa
SKILLPREREQ: "Mongrel EarthAffinity I"  => 0x7ab
SKILLPREREQ: "Mongrel AirAffinity III"  => 0x7ac
SKILLPREREQ: "Mongrel AirAffinity II"  => 0x7ad
SKILLPREREQ: "Mongrel AirAffinity I"  => 0x7ae
SKILLPREREQ: "Minotaur WaterAffinity III"  => 0x7af
SKILLPREREQ: "Minotaur WaterAffinity II"  => 0x7b0
SKILLPREREQ: "Minotaur WaterAffinity I"  => 0x7b1
SKILLPREREQ: "Minotaur FireAffinity III"  => 0x7b2
SKILLPREREQ: "Minotaur FireAffinity II"  => 0x7b3
SKILLPREREQ: "Minotaur FireAffinity I"  => 0x7b4
SKILLPREREQ: "Minotaur EarthAffinity III"  => 0x7b5
SKILLPREREQ: "Minotaur EarthAffinity II"  => 0x7b6
SKILLPREREQ: "Minotaur EarthAffinity I"  => 0x7b7
SKILLPREREQ: "Minotaur Defend I"  => 0x7b8
SKILLPREREQ: "Minotaur AirAffinity III"  => 0x7b9
SKILLPREREQ: "Minotaur AirAffinity II"  => 0x7ba
SKILLPREREQ: "Minotaur AirAffinity I"  => 0x7bb
SKILLPREREQ: "Ludo WaterAffinity III"  => 0x7bc
SKILLPREREQ: "Ludo WaterAffinity II"  => 0x7bd
SKILLPREREQ: "Ludo WaterAffinity I"  => 0x7be
SKILLPREREQ: "Ludo FireAffinity III"  => 0x7bf
SKILLPREREQ: "Ludo FireAffinity II"  => 0x7c0
SKILLPREREQ: "Ludo FireAffinity I"  => 0x7c1
SKILLPREREQ: "Ludo EarthAffinity III"  => 0x7c2
SKILLPREREQ: "Ludo EarthAffinity II"  => 0x7c3
SKILLPREREQ: "Ludo EarthAffinity I"  => 0x7c4
SKILLPREREQ: "Ludo DarkAffinity II"  => 0x7c5
SKILLPREREQ: "Ludo DarkAffinity I"  => 0x7c6
SKILLPREREQ: "Ludo AirAffinity III"  => 0x7c7
SKILLPREREQ: "Ludo AirAffinity II"  => 0x7c8
SKILLPREREQ: "Ludo AirAffinity I"  => 0x7c9
SKILLPREREQ: "Legionnaire WaterAffinity III"  => 0x7ca
SKILLPREREQ: "Legionnaire WaterAffinity II"  => 0x7cb
SKILLPREREQ: "Legionnaire WaterAffinity I"  => 0x7cc
